Year,Quarter,Course,Code,Instructor,Time,Max,Enr,Place
2023,Spring,Math 130C STOCHASTIC PROCESS,44875,"YU, Y.",MWF 10:00-10:50,40,19,SSTR 103
2023,Spring,Math 130C STOCHASTIC PROCESS,44878,"ZHU, Y.",MWF 4:00- 4:50p,60,56,SE2 1304
2023,Spring,Math 134A FIXED INCOME,44880,"LUDWIG, J.",MWF 2:00- 2:50p,44,12,ALP 1700
2023,Spring,Math 134A FIXED INCOME,44883,"LUDWIG, J.",MWF 3:00- 3:50p,45,25,ALP 1700
2023,Spring,Math 134C FINANCIAL MODELS,44892,"ABRAMOVICH, P.",MWF 5:00- 5:50p,53,25,MSTB 124
2023,Spring,Math 140A ELEM ANALYSIS I,44894,"LI, L.",MWF 3:00- 3:50p,56,41,MSTB 124
2023,Spring,Math 140A ELEM ANALYSIS I,44904,"LI, L.",MWF 4:00- 4:50p,27,21,RH 114
2023,Spring,Math 140B ELEM ANALYSIS II,44927,"HUBER, K.",MWF 12:00-12:50p,40,38,RH 114
2023,Spring,Math 140B ELEM ANALYSIS II,44930,"SMITH, L.",MWF 11:00-11:50,40,29,RH 114
2023,Spring,Math 140C ANALY SEV VARIABLES,44960,"KRUPCHYK, K.",MWF 11:00-11:50,36,30,SE2 1306
2023,Spring,Math 140C ANALY SEV VARIABLES,44970,"GUIDOTTI, P.",MTuWThF 10:00-10:50,0,0,RH 306
2023,Spring,Math 141 INTRO TOPOLOGY,45000,"TSENG, L.",MWF 2:00- 2:50p,35,17,HICF 100M
2023,Spring,Math 147 COMPLEX ANALYSIS,45010,"FIGOTIN, A.",MWF 10:00-10:50,45,36,DBH 1500
2023,Spring,Math 161 MODERN GEOMETRY,45030,"DONALDSON, N.",MWF 2:00- 2:50p,52,36,MSTB 122
2023,Spring,Math 162B INTRO DIFFRNTL GEOM,45040,"WOLFSON, J.",MWF 1:00- 1:50p,24,5,MSTB 114
2023,Spring,Math 180B NUMBER THEORY II,45070,"WAN, D.",MWF 11:00-11:50,20,6,MSTB 114
2023,Spring,Math 184 HISTORY OF MATH,45190,"DONALDSON, N.",MWF 4:00- 4:50p,53,41,MSTB 122
2023,Spring,Math 192 LRNG &TCHG SEC MATH,45200,"PANTANO, A.",M 2:00- 3:50p,35,19,ALP 2500
2023,Spring,Math 192 LRNG &TCHG SEC MATH,45210,"SMITH, L.",Tu 3:30- 4:50p,30,15,ALP 1100
2023,Spring,Math 205C INTRO GRAD ANALYSIS,45500,"GUIDOTTI, P.",MTuWThF 10:00-10:50,20,1,RH 306
